"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Not classified","Currency: 2017 PPP $","2021",4793.63,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (Aggregate): Not classified","Currency: U.S. dollars","2021",4423.42,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Male","Economic activity (Aggregate): Total","Currency: Local currency","2021",5112.93,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Male","Economic activity (Aggregate): Total","Currency: 2017 PPP $","2021",6553.37,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Male","Economic activity (Aggregate): Total","Currency: U.S. dollars","2021",6047.26,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Male","Economic activity (Aggregate): Agriculture","Currency: Local currency","2021",3685.71,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Male","Economic activity (Aggregate): Agriculture","Currency: 2017 PPP $","2021",4724.08,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Male","Economic activity (Aggregate): Agriculture","Currency: U.S. dollars","2021",4359.24,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Male","Economic activity (Aggregate): Manufacturing","Currency: Local currency","2021",5561.97,,"Nonstandard economic activity: Including B | Nonstandard economic activity: Including D-E","Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Male","Economic activity (Aggregate): Manufacturing","Currency: 2017 PPP $","2021",7128.92,,"Nonstandard economic activity: Including B | Nonstandard economic activity: Including D-E","Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
